Flow;Steam;pressure;temperature;compo1;compo2;compo3;compo4;compo5;compo6;compo7;compo8;compo9;compo10;compo11
12,468224;0,4311;2,136903011;827,4506;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
15,828864;0,4973;2,86456801;812,2665;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
12,571296;0,4456;2,86456801;813,1298;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
17,627552;0,4319;2,123173482;833,9436;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
14,232672;0,5029;2,181033637;841,8202;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
14,988928;0,4748;2,385995881;843,6113;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
12,827648;0,4259;2,31832892;826,3167;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
14,063104;0,5764;2,540943415;818,717;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
12,72384;0,3762;2,568402471;849,2394;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
14,34768;0,3728;2,619397862;819,3226;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
16,429632;0,3819;2,640972835;809,0667;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
17,710688;0,5317;2,478179857;835,4585;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
17,49168;0,5029;2,971462195;812,9291;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
17,16448;0,5368;2,845935079;845,2332;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
15,14384;0,4332;2,89791115;829,0724;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
13,38944;0,4092;2,424242424;821,218;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
14,706208;0,3418;2,100617829;848,8962;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
17,00736;0,3661;2,763557909;832,5679;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
13,732416;0,5498;2,59978425;827,3218;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
12,603712;0,5176;2,890065706;821,3623;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
15,909408;0,346;2,319309601;848,9119;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
16,50288;0,3008;2,600764931;819,5017;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
12,704064;0,4397;2,713543199;841,6534;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
12,29024;0,3509;2,721388644;820,9176;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
16,764;0,3506;2,553692262;816,2465;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
16,086496;0,5103;2,325193684;824,9276;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
15,063456;0,3367;2,178091596;854,4155;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
13,569984;0,5752;2,813572619;841,4086;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
